,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Self Control,Addiction Level,CurrentActivity,ConnectionType,Clusters,DB_Clusters
57,31,Male,United States,86707,True,True,Waiting staff,Rural,Facebook,205,5,Entertainment,26,1613,1,15,26,25,Afternoon,5,5,Habit,Smartphone,Android,7,3,At home,Mobile Data,4,4
58,34,Male,Vietnam,97454,True,False,Waiting staff,Rural,Facebook,225,3,Vlogs,15,6578,5,7,8,8,Night,3,7,Entertainment,Tablet,Android,5,5,At school,Mobile Data,1,0
59,53,Male,Japan,85428,True,False,driver,Urban,TikTok,294,12,Life Hacks,6,7851,9,26,24,74,Night,3,7,Habit,Smartphone,iOS,5,5,At home,Mobile Data,1,0
60,57,Female,Germany,70601,True,True,driver,Rural,YouTube,205,15,Entertainment,27,3679,4,17,8,32,Afternoon,5,5,Entertainment,Smartphone,iOS,7,3,At home,Wi-Fi,4,4
61,21,Other,United States,97465,True,True,Waiting staff,Urban,Facebook,161,10,Jokes/Memes,26,7540,9,22,19,17,Afternoon,5,5,Procrastination,Smartphone,Android,7,3,Commuting,Wi-Fi,4,4
62,19,Male,United States,22539,False,True,Waiting staff,Rural,Facebook,23,19,Entertainment,4,9488,2,22,47,79,Evening,6,4,Habit,Computer,Android,8,2,At school,Mobile Data,2,1
63,23,Male,Vietnam,42669,False,False,Students,Rural,Instagram,155,16,ASMR,8,7074,4,22,48,79,Evening,6,4,Boredom,Computer,iOS,8,2,Commuting,Wi-Fi,2,1
64,59,Male,United States,90968,True,False,Teacher,Rural,Facebook,66,11,Life Hacks,19,3996,9,12,30,48,Afternoon,5,5,Entertainment,Smartphone,Android,7,3,At school,Mobile Data,4,4
65,21,Other,India,40644,False,False,Teacher,Rural,TikTok,220,8,Life Hacks,27,4786,4,18,22,63,Afternoon,5,5,Habit,Smartphone,MacOS,7,3,At home,Mobile Data,2,1
66,46,Other,India,38745,False,True,Cashier,Rural,YouTube,277,3,Gaming,5,5695,5,24,9,40,Evening,6,4,Boredom,Smartphone,Android,8,2,Commuting,Mobile Data,2,1
67,35,Male,Mexico,48228,False,False,Students,Rural,Facebook,219,7,Trends,13,9347,8,14,44,84,Evening,6,4,Boredom,Smartphone,MacOS,8,2,At home,Mobile Data,2,1
68,43,Male,Vietnam,54521,True,False,Artist,Rural,Instagram,26,7,Life Hacks,16,6998,1,15,48,15,Night,3,7,Habit,Smartphone,MacOS,5,5,At home,Wi-Fi,1,0
69,61,Female,Mexico,46928,False,False,Students,Rural,YouTube,295,14,Gaming,1,2366,1,15,4,99,Evening,6,4,Habit,Computer,Android,8,2,At home,Mobile Data,2,1
70,51,Female,Vietnam,38322,False,False,Students,Rural,Facebook,212,2,Pranks,13,6764,9,5,37,6,Afternoon,5,5,Entertainment,Tablet,iOS,7,3,At school,Mobile Data,2,1
71,27,Male,Indonesia,77714,True,True,Labor/Worker,Urban,Instagram,108,10,Life Hacks,22,8976,9,16,8,94,Night,3,7,Boredom,Smartphone,Windows,5,5,At home,Wi-Fi,1,0
72,53,Male,Vietnam,82292,True,False,Engineer,Rural,Facebook,288,19,Comedy,11,9273,4,5,1,63,Evening,6,4,Entertainment,Computer,Windows,8,2,At school,Mobile Data,4,4
73,31,Female,Germany,49055,False,True,Waiting staff,Urban,YouTube,218,9,Jokes/Memes,21,1614,2,2,28,8,Night,3,7,Boredom,Smartphone,Android,5,5,At home,Mobile Data,3,2
74,48,Other,Philippines,62891,True,False,driver,Rural,YouTube,138,16,Jokes/Memes,8,4555,9,20,6,95,Night,3,7,Procrastination,Computer,MacOS,5,5,At school,Mobile Data,1,0
75,32,Male,United States,26588,False,True,Labor/Worker,Rural,YouTube,297,19,Jokes/Memes,25,2416,4,28,47,32,Night,3,7,Habit,Smartphone,Android,5,5,At home,Mobile Data,3,2
76,25,Female,India,26304,False,False,driver,Rural,TikTok,261,18,Pranks,8,7288,6,25,36,45,Night,3,7,Procrastination,Smartphone,Android,5,5,Commuting,Wi-Fi,3,2
77,31,Male,India,27345,False,True,Labor/Worker,Rural,Facebook,274,9,Life Hacks,24,6862,1,9,11,52,Afternoon,5,5,Procrastination,Tablet,Android,7,3,Commuting,Mobile Data,2,1
78,40,Other,Japan,49300,False,False,Labor/Worker,Rural,TikTok,280,16,Vlogs,28,3653,9,22,5,79,Evening,6,4,Boredom,Smartphone,iOS,8,2,At school,Wi-Fi,2,1
79,57,Male,United States,44259,False,True,driver,Rural,YouTube,197,13,Jokes/Memes,14,6639,5,27,24,82,Night,3,7,Habit,Tablet,Windows,5,5,At school,Mobile Data,3,2
80,38,Male,United States,35352,False,False,driver,Rural,Instagram,223,10,Gaming,13,496,3,9,47,13,Evening,6,4,Habit,Smartphone,Android,8,2,At home,Mobile Data,2,1
81,33,Male,Pakistan,53365,True,True,Labor/Worker,Urban,Facebook,292,14,Jokes/Memes,3,504,4,4,18,24,Afternoon,5,5,Entertainment,Smartphone,Android,7,3,At school,Mobile Data,0,3
82,62,Male,Philippines,39446,False,False,Students,Rural,TikTok,220,12,Pranks,4,7699,1,15,20,40,Evening,6,4,Entertainment,Smartphone,MacOS,8,2,Commuting,Mobile Data,2,1
83,35,Male,India,22336,False,True,Waiting staff,Urban,Facebook,85,19,Entertainment,27,5733,9,11,28,14,Afternoon,5,5,Boredom,Smartphone,Android,7,3,At work,Mobile Data,2,1
84,64,Male,Barzil,82032,True,False,Labor/Worker,Urban,Instagram,157,7,Jokes/Memes,20,8055,8,1,13,92,Night,3,7,Boredom,Tablet,iOS,5,5,At home,Wi-Fi,1,0
85,41,Other,India,95415,True,True,Waiting staff,Rural,TikTok,222,15,Life Hacks,15,3216,4,18,5,75,Night,3,7,Entertainment,Smartphone,iOS,5,5,At home,Wi-Fi,1,0
86,43,Female,Indonesia,27521,False,False,Engineer,Rural,YouTube,118,16,Trends,15,5688,2,29,30,70,Night,3,7,Habit,Computer,iOS,5,5,At home,Wi-Fi,3,2
87,42,Other,United States,91707,True,True,Manager,Rural,TikTok,138,8,Life Hacks,27,9600,9,1,1,62,Night,3,7,Entertainment,Computer,MacOS,5,5,At home,Mobile Data,1,-1
88,62,Female,United States,43481,False,False,Students,Rural,Facebook,19,10,Jokes/Memes,21,4364,4,8,22,89,Night,3,7,Boredom,Smartphone,MacOS,5,5,At work,Mobile Data,3,2
89,58,Female,Germany,38474,False,True,Waiting staff,Rural,Facebook,56,4,Jokes/Memes,13,6042,9,25,18,61,Night,3,7,Entertainment,Smartphone,Android,5,5,At school,Wi-Fi,3,2
90,46,Male,United States,66760,True,False,Waiting staff,Rural,Facebook,105,19,Jokes/Memes,9,1477,3,16,46,1,Afternoon,5,5,Boredom,Tablet,Android,7,3,At school,Mobile Data,0,3
91,32,Male,India,75718,True,True,Students,Rural,Facebook,112,19,Jokes/Memes,28,4960,7,26,5,89,Night,3,7,Boredom,Smartphone,iOS,5,5,Commuting,Wi-Fi,1,0
92,62,Female,India,64629,True,False,Students,Rural,YouTube,155,15,Trends,25,2397,7,28,31,66,Night,3,7,Habit,Smartphone,Android,5,5,At school,Mobile Data,1,0
93,18,Male,India,65232,True,True,driver,Rural,TikTok,36,14,Vlogs,10,8301,4,22,6,32,Night,3,7,Boredom,Tablet,iOS,5,5,At work,Wi-Fi,1,0
94,42,Other,Vietnam,87169,True,True,Manager,Rural,YouTube,229,1,Life Hacks,29,8841,2,18,27,13,Evening,6,4,Habit,Computer,iOS,8,2,At work,Wi-Fi,4,4
95,24,Other,Pakistan,70669,True,True,Students,Rural,YouTube,27,16,Jokes/Memes,12,6194,9,22,25,33,Morning,8,2,Habit,Smartphone,Android,10,0,At home,Wi-Fi,0,3
96,26,Male,United States,98021,True,True,Students,Urban,YouTube,176,10,ASMR,14,7570,4,9,29,32,Evening,6,4,Boredom,Smartphone,iOS,8,2,At home,Wi-Fi,4,4
97,41,Female,United States,89184,True,False,Waiting staff,Urban,Facebook,91,19,Jokes/Memes,1,7730,8,12,28,56,Afternoon,5,5,Entertainment,Tablet,Android,7,3,At work,Mobile Data,0,3
98,18,Male,India,67945,True,True,Engineer,Rural,Facebook,81,3,ASMR,14,1499,2,19,16,24,Night,3,7,Entertainment,Smartphone,Android,5,5,At work,Wi-Fi,1,0
99,61,Female,Mexico,33140,False,False,Waiting staff,Urban,Facebook,263,5,Pranks,14,7235,8,25,12,91,Evening,6,4,Boredom,Tablet,iOS,8,2,At home,Wi-Fi,2,1
100,25,Male,Germany,34357,False,False,Engineer,Rural,TikTok,171,9,Vlogs,8,595,5,18,20,4,Afternoon,5,5,Boredom,Tablet,Android,7,3,At work,Wi-Fi,2,1
101,41,Male,Germany,88673,True,False,Waiting staff,Rural,Instagram,47,18,Jokes/Memes,16,978,7,27,18,88,Night,3,7,Boredom,Smartphone,iOS,5,5,Commuting,Mobile Data,1,0
102,28,Male,India,85633,True,False,Engineer,Urban,Facebook,210,11,Jokes/Memes,14,730,7,5,34,23,Night,3,7,Entertainment,Smartphone,Android,5,5,At school,Wi-Fi,1,0
103,34,Female,Japan,96943,True,False,Engineer,Rural,TikTok,209,16,Gaming,1,56,9,27,23,29,Night,3,7,Habit,Tablet,Windows,5,5,At work,Mobile Data,1,0
104,25,Female,India,98258,True,True,driver,Urban,Facebook,264,2,Gaming,16,2243,3,2,45,98,Night,3,7,Habit,Smartphone,Android,5,5,At home,Mobile Data,1,0
105,52,Male,Philippines,32924,False,False,Labor/Worker,Rural,Facebook,188,12,Comedy,18,5879,4,7,27,21,Evening,6,4,Entertainment,Smartphone,iOS,8,2,At home,Mobile Data,2,1
106,52,Female,Japan,89286,True,False,Labor/Worker,Urban,YouTube,44,6,Jokes/Memes,7,1701,4,27,49,30,Night,3,7,Habit,Smartphone,Android,5,5,At home,Mobile Data,1,0
107,50,Male,Barzil,94071,True,True,Waiting staff,Rural,YouTube,91,11,Pranks,15,7229,5,10,17,90,Night,3,7,Entertainment,Smartphone,Windows,5,5,At work,Wi-Fi,1,0
108,22,Male,Mexico,77326,True,True,Artist,Rural,YouTube,229,8,Gaming,24,1286,6,15,48,20,Evening,6,4,Entertainment,Computer,Android,8,2,At home,Wi-Fi,0,3
109,59,Male,Germany,50651,True,True,Labor/Worker,Rural,TikTok,167,12,Jokes/Memes,17,8303,3,25,21,16,Night,3,7,Procrastination,Tablet,Android,5,5,At work,Mobile Data,1,0
110,56,Female,India,90202,True,False,Waiting staff,Rural,Instagram,13,2,Jokes/Memes,19,9393,4,7,40,67,Night,3,7,Entertainment,Smartphone,iOS,5,5,At home,Wi-Fi,1,0
111,58,Female,Barzil,68777,True,False,Labor/Worker,Rural,Instagram,176,9,Pranks,23,947,3,28,31,49,Evening,6,4,Habit,Smartphone,Android,8,2,At home,Wi-Fi,0,3
112,45,Female,Vietnam,36994,False,False,Labor/Worker,Rural,TikTok,213,15,Jokes/Memes,13,4121,2,5,3,58,Evening,6,4,Procrastination,Smartphone,Android,8,2,At work,Mobile Data,2,1
113,24,Male,Indonesia,87263,True,True,Teacher,Rural,Facebook,203,2,Jokes/Memes,9,6553,9,15,17,44,Evening,6,4,Boredom,Computer,Windows,8,2,At home,Wi-Fi,4,4
114,26,Male,United States,79634,True,False,Students,Rural,TikTok,244,1,Entertainment,24,757,1,20,26,25,Night,3,7,Habit,Smartphone,Android,5,5,At school,Mobile Data,1,0
115,25,Male,Barzil,30800,False,False,Students,Urban,Facebook,215,10,Life Hacks,24,5651,2,28,23,23,Night,3,7,Boredom,Smartphone,iOS,5,5,At school,Mobile Data,3,2
116,29,Female,Philippines,57823,True,False,Cashier,Rural,TikTok,159,2,Entertainment,15,7273,8,20,6,59,Evening,6,4,Habit,Smartphone,Android,8,2,At work,Wi-Fi,4,4
117,51,Male,United States,83878,True,False,driver,Rural,TikTok,168,12,Life Hacks,25,3535,7,15,28,1,Evening,6,4,Habit,Smartphone,iOS,8,2,At work,Wi-Fi,4,4
118,50,Other,India,38708,False,True,Labor/Worker,Rural,TikTok,288,8,Life Hacks,26,2293,1,10,8,97,Evening,6,4,Habit,Smartphone,Android,8,2,At work,Mobile Data,2,1
119,40,Female,Pakistan,32819,False,False,Engineer,Rural,Instagram,175,5,Gaming,3,1104,5,24,45,15,Night,3,7,Habit,Smartphone,Android,5,5,At home,Wi-Fi,3,2
120,41,Other,Vietnam,94905,True,True,Labor/Worker,Rural,YouTube,77,1,Life Hacks,24,8853,6,26,8,81,Night,3,7,Habit,Tablet,Android,5,5,At work,Mobile Data,1,0
121,54,Other,Barzil,83870,True,False,Labor/Worker,Rural,TikTok,97,15,Gaming,1,908,5,29,19,98,Night,3,7,Habit,Tablet,iOS,5,5,At home,Mobile Data,1,0
122,52,Female,Mexico,29283,False,True,Artist,Urban,Instagram,226,6,Trends,16,6539,4,26,38,81,Evening,6,4,Habit,Smartphone,iOS,8,2,Commuting,Mobile Data,2,1
123,61,Other,India,50573,True,False,Waiting staff,Rural,YouTube,10,12,Comedy,8,4617,1,14,29,52,Evening,6,4,Boredom,Smartphone,Windows,8,2,At home,Wi-Fi,0,3
124,57,Male,United States,98707,True,True,driver,Rural,YouTube,144,8,ASMR,29,7069,7,26,23,58,Night,3,7,Boredom,Smartphone,iOS,5,5,At home,Wi-Fi,1,0
125,39,Female,India,50933,True,False,driver,Rural,TikTok,194,13,Gaming,23,2311,9,26,47,41,Evening,6,4,Entertainment,Tablet,Android,8,2,At school,Mobile Data,0,3
126,44,Female,Barzil,25774,False,True,Cashier,Rural,Facebook,149,19,Pranks,13,789,6,10,32,44,Night,3,7,Habit,Computer,iOS,5,5,At school,Mobile Data,3,2
127,52,Male,Mexico,92055,True,False,Labor/Worker,Rural,Facebook,115,1,Pranks,8,171,3,17,10,4,Night,3,7,Boredom,Smartphone,Android,5,5,At school,Wi-Fi,1,0
128,18,Other,Philippines,30983,False,True,Waiting staff,Rural,Facebook,142,11,Vlogs,17,7989,4,21,27,77,Afternoon,5,5,Entertainment,Smartphone,Android,7,3,At school,Wi-Fi,2,1
129,52,Female,Indonesia,38133,False,False,Students,Urban,TikTok,117,1,Jokes/Memes,22,1885,5,14,49,68,Evening,6,4,Habit,Tablet,MacOS,8,2,At home,Wi-Fi,2,1
130,54,Male,United States,34939,False,True,driver,Urban,Facebook,187,8,Vlogs,23,8667,1,2,1,7,Evening,6,4,Habit,Smartphone,Android,8,2,At home,Mobile Data,2,1
131,64,Male,Indonesia,20781,False,False,Artist,Rural,Instagram,155,5,Life Hacks,14,1049,5,16,39,46,Night,3,7,Procrastination,Smartphone,Android,5,5,At home,Mobile Data,3,2
132,31,Female,India,76700,True,True,Waiting staff,Rural,Instagram,83,17,ASMR,27,4129,1,13,29,9,Night,3,7,Entertainment,Tablet,Android,5,5,Commuting,Mobile Data,1,0
133,20,Male,India,47624,False,False,Students,Rural,Instagram,117,8,Vlogs,21,1161,9,27,45,87,Afternoon,5,5,Entertainment,Smartphone,Android,7,3,At school,Mobile Data,2,1
134,18,Female,Barzil,26823,False,True,driver,Rural,Instagram,131,10,Entertainment,21,815,7,9,3,33,Afternoon,5,5,Procrastination,Smartphone,Windows,7,3,At home,Mobile Data,2,1
135,22,Female,Barzil,38489,False,False,Manager,Rural,YouTube,26,2,Life Hacks,7,3766,3,7,47,33,Evening,6,4,Entertainment,Computer,iOS,8,2,At home,Mobile Data,2,1
136,43,Female,Pakistan,59961,True,True,Cashier,Rural,Instagram,205,9,Trends,27,8945,9,16,37,84,Night,3,7,Boredom,Smartphone,Android,5,5,At home,Mobile Data,1,0
137,31,Female,Germany,49118,False,False,Labor/Worker,Rural,Facebook,261,3,Entertainment,15,4661,2,10,31,4,Night,3,7,Entertainment,Tablet,Android,5,5,At work,Mobile Data,3,2
138,56,Male,Pakistan,42263,False,True,Students,Rural,TikTok,128,18,Life Hacks,16,8653,7,24,11,65,Morning,8,2,Boredom,Tablet,Android,10,0,Commuting,Mobile Data,2,1
139,44,Male,India,33565,False,False,Students,Rural,Facebook,171,7,Life Hacks,19,3239,9,22,22,34,Afternoon,5,5,Procrastination,Computer,Windows,7,3,At school,Wi-Fi,2,1
140,26,Female,India,40354,False,True,Students,Rural,Instagram,207,15,Jokes/Memes,6,8272,6,9,18,91,Afternoon,5,5,Habit,Tablet,iOS,7,3,At work,Mobile Data,2,1
